job_title,job_description,job_requirements,job_deadline
Software Engineering Intern - Summer 2025 (Remote),"The OverWatch Labs (OWL) team builds the platform and tools for our analysts on the OverWatch team to process and hunt (identify potentially harmful activity) through trillions of events per day, and growing. We are looking for an intern who wants to help move the OWL platform forward as we scale even further.",[],
"Regional Sales Manager, Enterprise - Western Canada (Remote, CAN)","As a Regional Sales Manager –Enterprise, you will be responsible for driving new business opportunities within enterprise clients, whilst growing existing client relationships. You will position CrowdStrike as the supplier of choice within your accounts.  To meet and exceed your individual sales quota, you will drive the sales cycle to success. You will meet the client’s requirements and be responsible for collaborating with the relevant internal teams to deliver successful sales proposals.  The right candidate will possess excellent energy and drive and a real desire to build business across a portfolio of accounts. They will have the ability to build effective relationships quickly and to find a valuable business within each account immediately that can then be enhanced by leveraging internal resources. Candidates with current strong security contacts are encouraged to apply.  This is a field sales role and we are currently seeking top talent in Western Canada (British Columbia, Alberta or Manitoprovinces)","['As a Regional Sales Manager,\xa0 your skills and qualifications will include:', 'Proven successful track record in a similar role selling high technology products to FTSE 250', 'Ability to network multiple levels within an account up to C-Level', 'Strong Security Technology knowledge', 'Excellent verbal, written and presentation skills', 'Ability to create and deliver value propositions', 'Ability to identify and influence key decision makers', 'Ability to succeed in a quota driven sales environment\xa0at an Enterprise level for a minimum of 4 – 6 years.', 'Sales track record in the IT security industry preferred', 'Capable of closing solutions and services opportunities in the range of $150k – $1m', 'Familiar with formal sales training methodologies (e.g. MEDDIC, Miller-Hieman, TAS)', 'Strong business acumen and professionalism. Leadership, accountability qualities required', 'Salesforce.com experience preferably', '#LI-DV1', '#LI-AB3', '#LI-Remote']",
Sr. Front End Engineer - Foundry (Remote),,"['A desire to collaborate closely with users, designers, & testers to deliver quality software that solves problems.', 'A deep understanding of Javascript and considerable experience building thick-client applications with modern frameworks such as Ember, AngularJS, Backbone or React/Flux.', 'Experience with testing frameworks, tools and methodologies such as QUnit, Mocha & Selenium.', 'Functional knowledge & interest in developing genuinely accessible interfaces.', 'Strong HTML & CSS skills, with bonus points for experience with animation, knowledge of approaches to scalable/modular CSS, & preprocessors such as SCSS & LESS.', 'Familiarity with client-side build processes & tools - Grunt, Gulp, Ember CLI etc.', 'Comfortable with Git/version control workflows.', 'Experience creating or contributing to open source projects.', 'Experience with graphics & visualization tools such as D3 or ThreeJS.', 'Interest & experience with design & data visualization.', 'Experience with coaxing that last frame-per-second out of browsers.', 'Experience with web accessibility testing and support.', '#LI-IL1', '#LI-DG1', '#LI-Remote', '#HTF']",01-15-2025
Sr. Software Engineer - Cloud (Remote),,"['7+ years of production-level experience in building, delivering, and maintaining distributed services architecture at scale', ""Bachelor's Degree in Computer Science or relevant experience in Data Structures, Algorithms and Distributed Systems"", 'Ability to design scalable and resilient microservice-based architectures, including clean REST APIs and streaming communication channels', 'Strong programming skills either in Go or in Java, C++, Node.js or similar, with willingness to use Go.', 'Deep understand of multithreading, concurrency, and parallel processing', 'A thorough understanding of engineering best practices from appropriate testing paradigms to effective peer code', 'Cloud Infrastructure Knowledge: AWS or GCP / Azure', 'Team player skills – we embrace collaborating as a team as much as possible', 'Lead and Mentor junior team members with task detailing and directing execution for software development.', 'Communication with product management to understand and execute requirements.', 'Collaborate with multi-functional team in various physical locations', 'Bonus Points: \u200b', 'Cassandra, Kafka, Elasticsearch, SQL, Redis', 'Experience with Scrum/Agile development methodologies', '#LI-AP1', '#LI-Remote', '#HTF']",
"Sr. Frontend Engineer (Remote, GBR)",,"['A desire to collaborate closely with users, designers, & testers to deliver quality software that solves problems.', 'A deep understanding of Javascript and considerable experience building thick-client applications with modern frameworks such as Ember, AngularJS, Backbone or React/Flux.', 'Experience with testing frameworks, tools and methodologies such as QUnit, Mocha & Selenium.', 'Functional knowledge & interest in developing genuinely accessible interfaces.', 'Strong HTML & CSS skills, with bonus points for experience with animation, knowledge of approaches to scalable/modular CSS, & preprocessors such as SCSS & LESS.', 'Familiarity with client-side build processes & tools - git, yarn, npm, Ember CLI etc', '#LI-MC1', '#LI-Remote']",
"Sr. Software Engineer - Cloud, DSPM","DSPM group of Crowdstrike stands at the forefront of the data security landscape, pioneering new standards in the protection and management of data at rest and in motion. Our groundbreaking platform is the first to offer comprehensive security across diverse cloud environments and beyond, enhancing data visibility and operational efficiency.  We're more than just a company; we're innovators and trailblazers. Our team of outside-the-box thinkers is dedicated to redefining what's possible in data security, continually pushing boundaries and setting new benchmarks. With Flow Security, businesses can harness the full potential of their data in an increasingly cloud-centric world.  Join us in shaping the future of data security—where innovation, excellence, and a forward-thinking mindset lead the way.","['5+ years experience of experience in backend and systems programming (Go / Python / NodeJS / Java / C#)', 'Cloud internal deep knowledge (AWS / GCP / Azure)', 'Experience with the design of distributed systems, microservices architectures, and event-based architectures', 'Experience with Docker / Kubernetes or similar', 'Responsibility and professionalism', 'Ability to learn quickly and independently', 'Great interpersonal skills', '#LI-DS1', '#LI-MZ1']",
"Sr. Software Engineer - Cloud, DSPM","DSPM group of Crowdstrike stands at the forefront of the data security landscape, pioneering new standards in the protection and management of data at rest and in motion. Our groundbreaking platform is the first to offer comprehensive security across diverse cloud environments and beyond, enhancing data visibility and operational efficiency.","['5+ years experience of experience in backend and systems programming (Go / Python / NodeJS / Java / C#)', 'Cloud internal deep knowledge (AWS / GCP / Azure)', 'Experience with the design of distributed systems, microservices architectures, and event-based architectures', 'Experience with Docker / Kubernetes or similar', 'Responsibility and professionalism', 'Ability to learn quickly and independently', 'Great interpersonal skills', '#LI-DS1', '#LI-MZ1', '#LI-MB1']",
"Sr. Software Engineer, SDET - Cloud Channel File Systems (Remote)","Channel File Systems at Crowdstrike is a critical component to our zero-prem-burden, scan-less automated threat detections, alerting and response product suite, enabling dynamic configurations on threat-detection sensors in customer environments, and coordinating distribution of those dynamic configurations to sensor groups in a time-effective and highly secure manner.  CrowdStrike is looking for a Senior ‘development-first’ SDET to join this product team in a role focused on building frameworks, libraries and tooling used for testing its unique distributed services and APIs, as well as contributing to its core production. We're looking for smart people who want to be challenged and take ownership of what they build.  Work in an environment where quality is the company culture. Come use cutting edge tools and technologies as well as tried and true ones. Work on: verifying key features and functionality that spans our processing, data and customer-facing application layers to ensure it supports millions of events per second, stores terabytes of data and delivers accurate information to the customer.","['10+ years of combined experience as an SDET and/or Backend Developer with primary focus on distributed services and APIs', '2-3+ years building testing frameworks and tooling for a Cloud SaaS product', 'A computer science background or equivalent experience (programming styles, data structures, algorithms, etc.)', 'Experience with any/all of the following: Go, Python, Scala, Java, C++, JavaScript', 'Networking: protocols, distributed systems, layered architectures.', 'Web Services: JSON, REST, RPC, XML, AWS EC2 & S3.', 'Data storage: RDMBS, NoSQL, and Caching Technologies such as PostgreSQL, MySQL, Cassandra, SQLServer, Redis, and/or MemCache.', 'Strong debugging skills: ability to spot design flaws, race conditions and performance bottlenecks in complex architectures.', 'Application, OS, Web Browser or hardware compatibility testing.', 'Computer and/or network security experience/understanding.', 'A love for breaking software systems in creative and useful ways.', 'Producing rock solid solutions for all manner of product quality concerns.', 'Thriving with responsibility, challenges and aggressive goals.', 'Ability to communicate, collaborate and deliver.', 'Authored and lead successful open source libraries and projects.', 'Contributions to the open source community (GitHub, Stack Overflow, blogging).', 'Existing exposure to Go, AWS, Cassandra, Kafka, Elasticsearch, GRPC, Docker, Kubernetes, Jenkins', '#LI-DG1', '#LI-MP1', '#LI-Remote', '#HTF']",
"Sales Engineer, Adaptive Shield (Remote, GBR)","Adaptive Shield, a CrowdStrike company,  is a leading provider of SSPM solutions that enables security teams to stay on top of their organization's; apps, identities, and any unusual behavior in their SaaS ecosystem. Today it is transforming how CrowdStrike’s Falcon protects our customers. That’s why we’re not just looking for candidates with impressive resumes; we’re seeking pioneers. We’re on a quest to enrich our team with individuals who bring more than just expertise - we want trailblazers who have navigated the realms we’re venturing into. Your experience in this new field won't just be valued; it will be the cornerstone of our journey towards innovation.At the core of this is our people. It’s important to inspire, support, and enable one another, so we've chosen a diverse group of talented, compassionate, and fun people to work with. The work is challenging but also allows for great flexibility to prioritize off-work commitments. We’ve found this to be the perfect mix for us. If you see yourself as a great match, we’d love nothing more than for you to join us at the forefront of innovation as our new Sales Engineer!  As a Pre-Sales Engineer at Adaptive Shield covering Europe, you will play a pivotal role in driving sales growth and customer success across the region. You will collaborate closely with our sales teams to provide technical expertise, conduct product demonstrations, and proofs of value (POVs).. You’ll be a product specialist that will assist the broader sales team with your expertise in this new and exciting product.","['We’re looking for a colleague with a great compassion for taking care of prospective customers and their challenges combined with well-rounded technical, analytical, and sales skills.', 'You appreciate the importance of teamwork, but will also benefit from your proactive approach to solving challenges and helping external and internal parties.', 'Strong technical knowledge of SaaS/Cloud platforms (Salesforce, 365 etc) and security concepts (network security, endpoint security, threat detection).', 'Ideally, you’ve participated in one or more of the common sales processes such as MEDDPICC, Challenger Selling, or Value Selling in a presales or architect role.', 'Ability to adapt, thrive and excel in a fast-moving, nimble environment.', 'Comfortable in a team selling environment, working in close collaboration with peers in the CrowdStrike sales organization.', 'Consultative sales approach – ability to challenge companies/businesses to think differently.', 'Strength in evangelizing technology and new account acquisition (hunting) – ability to discover and uncover new opportunities with prospects and existing business customers.', 'Highly motivated and professional, with excellent verbal communication and interpersonal skills.', 'Outstanding organizational skills with the attested ability to prioritize and complete multiple tasks to meet deadlines.', 'Self-starter able to work independently but also team oriented – work together win together attitude.', 'Excellent problem resolution skills – resourceful and constructive.', 'Willingly experiment with new technologies, techniques, and approaches to understand and communicate the unique value of CrowdStrike’s solutions.', ""A bachelor's degree in Computer Science, Information Systems, or a related field is an advantage."", '3+ years of experience in a pre-sales engineering role within the cybersecurity or cloud security industry.', 'Curiosity and a growth mindset to continuously learn and improve.', 'Capacity to create scalable processes (e.g. demo scripts, POV workflows).', 'Fluency in English. An additional European language is an advantage.', '#LI-Remote', '#LI-BM1']",
"Analysts, and Senior Analysts, Falcon Complete (Remote, AUS)",,[],
"Backend Software Engineer III (Remote, GBR)","CrowdStrike is looking for a Cloud Software Engineer to join our growing Product development team. This team of engineers focuses on security related development on endpoint, cloud, and back-end with a particular focus on data security. We're looking for smart people who want to be challenged and take ownership of what they build, working in an environment where quality is the company culture.","['4+ years of relevant work experience building backend software with SaaS delivery model', '2+ years of recent experience building a microservices-oriented architecture Expert knowledge of any of the following backend languages: Go, Scala, Java or node.js', 'Proven expertise in building distributed systems, micro services, REST APIs', 'Production experience with commercial clouds (AWS, Azure, GCP)', 'BS/MS degree in Computer Science or related field or equivalent work experience', 'Familiarity with CI/CD and reporting tools - source code control (Git), Jenkins, metrics/log monitoring tools like Grafana, Splunk', 'Experience developing applications using SQL and No-SQL databases', 'Be able to read & understand code written in Go and be an active participant in peer code reviews.', 'Team player – demonstrated ability to lead, mentor, communicate, collaborate,', 'and work effectively in a globally distributed team.', 'Master’s degree in computer science or related field', 'Golang experience', '#LI-MC1', '#LI-Remote']",
"Business Partner, MSSP Field Alliances Operations (Remote)","The Business Partner role under field Alliances Operations will be responsible for day to day operations supporting the rapidly growing CrowdStrike MSSP partner ecosystem as well as Crowdstrike Alliances/Partner leadership team and wider Alliances/Partner team. This role will have an emphasis on managing strong Salesforce data and partner program integrity with emphasis on our partner facing processes. While providing a seamless CrowdStrike experience for our partners, the successful candidate will have the ability to constantly improve our operations, build scalability, and be the partner advocate.","[""Bachelor's degree"", 'Minimum 10 years of (Partner / Channel) Operations experience', 'Minimum 5 years of MSSP Operations experience', 'Strong working knowledge of how MSPs run their business', 'Strong analytical background and ability to flush out anomalies', 'Be a self-starter, detail and process oriented, and operationally-minded', 'Excellent presentation, communication, and influencing skills, with strong business partnership experience', 'Expertise in business applications including Excel, PowerPoint, Salesforce and Tableau', 'Ability to work in a fast-paced environment and manage through ambiguity and change', 'Curious minded and willingness to constantly improve experience for our partners and internal teams', 'Ability to optimize and prioritize tasks', '#LI-CL1', '#LI-Remote']",02-09-2025
"Buyer, Procurement (7:00 PM - 4:00 AM IST)","We are looking for a Buyer 1 who will be responsible for managing and supporting Procurement Operations, including sourcing, negotiating contracts, and ensuring timely purchase order creation. The Responsibilities include supplier relationship management and maintaining compliance with procurement standards. The role requires strong communicational skill, the ability to collaborate across departments, and a strategic approach to cost management and quality improvement.","['Minimum 1 to 3-years’ experience in Procurement/Purchasing.', 'Requisition-to-payment process experience, expediting experience', 'Strong communication skills', 'Ability to manage multiple priorities in a fast-paced environment.', 'Proficient in Office applications (Word, Excel, PowerPoint)', 'Self-manage within assigned accountabilities', 'Analytical and problem-solving capabilities with attention to detail', 'Ability to manage change effectively while being mindful of business processes and systems implications.', 'Location - Kharadi, Pune', 'Shift - 7:00 PM - 4:00 AM IST', '#LI-SM1', '#LI-VG1']",
Corporate Account Executive (Hybrid),,"['1+ years of full sales cycle experience, generating net new business for a SaaS, Cloud, and/or Security solution.', '1+ years of experience carrying a dedicated sales quota, with responsibility for full sales cycle from sourcing to closing.', 'Experience with a consultative sales process with proven ability to sell a broad, multi-module solution to mid/enterprise organizations.', 'Confidence to sell into C-level Executives and/or Evaluator-level Security and IT Leadership.', 'Ability to execute a go-to-market strategy and prospect into accounts using SFDC, Outreach, LinkedIn Sales Navigator, ZoomInfo, cold calling, emailing, and more.', 'Previous experience strategizing with Channel Partners which may include, but not be limited to, Value-Added-Resellers and Managed Service Providers', 'Track record of exceeding expectations in an individually focused, quota carrying role.', 'Technical aptitude and ability to learn new business and technical concepts quickly.', 'Competitive nature, but also a collaborative team player.', 'Strong presentation skills, both in person and via virtual channels.', '#LI-Remote', '#LI-JJ2', '#LI-AB3']",
"Corporate Account Executive (Remote, THA)","You hold the ultimate responsibility for driving new business and have the power and authority to make key decisions and plans to drive growth. You have a hunter mentality and are extremely results driven, customer focused, technologically savvy, and innovative at building internal relationships and external partnerships to acquire new logos!  The right candidate will possess excellent energy and drive and a real desire to build business within their assigned territory. They will have the ability to build effective relationships quickly and to find valuable business within each account immediately that can then be enhanced by leveraging all available internal & external resources.","['Excellent cold calling, presentation, and persuasion skills', 'Proven ability to sell a complex sophisticated product/solution to organizations, covering all levels from C-level Executives down.', 'Challenger mentality. Change the status quo by leading and influencing prospects in a positive way to adopt a better approach to security', 'Hunger and a burning desire to drive success in a hyper growth environment', 'Able to leverage and master available tools and assets to scale up sales results e.g. virtual platforms, selling and prospecting tools, channel partners etc', 'Track record of exceeding expectations in an individually focused, quota carrying role.', 'Strong presentation skills, and customer handling skills.', 'Open minded, focused on constant self-improvement and able to learn new business and technical concepts quickly.', 'Competitive nature, but also a collaborative team player.', 'Persistent – Doesn’t stop at “no”.\xa0 Believes they can overcome.', 'Coachable - Seeks help; knows how to get help, when to ask for it and what situations call for it.', 'Charismatic - knows how to use it.', 'Sharp/Quick Witted - thinks on their feet. Flexibility to handle a curveball.', 'Creative – Can think outside the box (when appropriate).', 'Motivated - to learn, to succeed, to win, to grow.', 'Aptitude - Able to learn and implement new concepts quickly.', 'Confidence with absence of Ego.', 'Self-Disciplined - Proven to be good at time management, organization, and demonstrate discipline in their process and everyday business.', 'Self-aware – Has a solid understanding of their strengths and weaknesses and what they need to work on.', '#LI-YB1', '#LI-Remote']",
Corporate Account Executive,"You hold the ultimate responsibility for driving new business and have the power and authority to make key decisions and plans to drive growth. You have a hunter mentality and are extremely results driven, customer focused, technologically savvy, and innovative at building internal relationships and external partnerships to acquire new logos!  The right candidate will possess excellent energy and drive and a real desire to build business within their assigned territory. They will have the ability to build effective relationships quickly and to find valuable business within each account immediately that can then be enhanced by leveraging all available internal & external resources.","['Excellent cold calling, presentation and persuasion skills', 'Proven ability to sell a complex sophisticated product/solution to organizations, covering all levels from C-level Executives down.', 'Challenger mentality. Change the status quo by leading and influencing prospects in a positive way to adopt a better approach to security', 'Hunger and a burning desire to drive success in a hyper growth environment', 'Able to leverage and master available tools and assets to scale up sales results e.g. virtual platforms, selling and prospecting tools, channel partners etc', 'Track record of exceeding expectations in an individually focused, quota carrying role.', 'Strong presentation skills, and customer handling skills.', 'Open minded, focused on constant self-improvement and able to learn new business and technical concepts quickly.', 'Competitive nature, but also a collaborative team player.', 'Persistent – Doesn’t stop at “no”.\xa0 Believes they can overcome.', 'Coachable - Seeks help; knows how to get help, when to ask for it and what situations call for it.', 'Charismatic - knows how to use it.', 'Sharp/Quick Witted - thinks on their feet. Flexibility to handle a curveball.', 'Creative – Can think outside the box (when appropriate).', 'Motivated - to learn, to succeed, to win, to grow.', 'Aptitude - Able to learn and implement new concepts quickly.', 'Confidence with absence of Ego.', 'Self-Disciplined - Proven to be good at time management, organization, and demonstrate discipline in their process and everyday business.', 'Self-aware – Has a solid understanding of their strengths and weaknesses and what they need to work on.', '業務内容:', '本ポジションでは新規アカウントを獲得する為、ミッドマーケット(中堅)に対するハイタッチ営業をしてくださる方を募集しております。', 'セキュリティを通してお客様の安全を守ることに強い情熱と経験をお持ちの方からのご応募をお待ちしております。', 'クラウドストライクのサービスを通して顧客の課題を解決する', 'セールスメソッド（MEDDICやSandlerなど）を使用して担当顧客の組織体制、意思決定者、意思決定フローなどを把握し、顧客にとって魅力的な提案を行う', '担当テリトリーにおける営業計画の立案', '見込顧客の発掘からクロージングまでの全てのセールスサイクルを担当', 'セールスエンジニア、インサイドセールス、パートナーセールスなど社内関係者と密に連携し、ビジネスチャンスを獲得する', '正確なパイプライン管理とマネージャーへの定期的なレポーティング', 'サイバーセキュリティのスペシャリストとして顧客の信頼できるアドバイザーとなる', '常にマーケットや競合他社について調査し、自社製品のソリューションとサービスの提案方法について模索する', 'Experience Skills and Qualifications:', '4年以上の法人向けハイタッチセールスの経験（SaaSまたはソフトウェアのご経験者優遇）', '今までのキャリアの中で継続的に高い成果を上げてきた経験', '貪欲に学び、その学びを自らの行動に反映できる方', '複数の製品・サービスを合わせた提案型ソリューション営業の経験', '経営幹部やエンジニア層へ自信を持って提案できる方', 'Salesforceや独自のリサーチを駆使し、コールドコールなどでリードを発掘してきた経験', '意思決定者や決裁者を見極め、影響を与える質問やプレゼンをしてきた方', 'チームメンバーと知識や経験を積極的に共有できる方（オープンなコミュニケーションが取れる方）', '英語に抵抗がない方', '#LI-SA1']",
"Corporate Account Manager, Central LATAM (Remote)",,"['1+ years of full sales cycle experience, generating net new business for a SaaS, Cloud, and/or Security solution.', 'Experience carrying a dedicated sales quota, with responsibility for full sales cycle from sourcing to closing.', 'Experience with a consultative sales process with proven ability to sell a broad, multi-module solution to mid/enterprise organizations.', 'Confidence to sell into C-level Executives and/or Evaluator-level Security and IT Leadership.', 'Ability to execute a go-to-market strategy and prospect into accounts using SFDC, Outreach, LinkedIn Sales Navigator, ZoomInfo, cold calling, emailing, and more.', 'Previous experience strategizing with Channel Partners which may include, but not be limited to, Value-Added-Resellers and Managed Service Providers', 'Track record of exceeding expectations in an individually focused, quota carrying role.', 'Technical aptitude and ability to learn new business and technical concepts quickly.', 'Competitive nature, but also a collaborative team player.', 'Strong presentation skills, both in person and via virtual channels', '#LI-JN1', '#LI-HK1', '#LI-Remote']",
"Data & Automation Architect, GTM (Remote)","We are looking for a Data & Automation Architect in our Go-to-Market team  to build, test, deploy, and scale some of our high impact data products. This key role will partner closely with our sales, marketing, value, licensing, renewals, and deals teams to bring exciting new innovations to the field and drive value to our internal teams and customers. You will work with the best in the business, and we need you to bring your creativity, imagination, and energy to this high-profile position.","['5+ years of experience with 3+ years of Python development in a Data, Data Science or Automation role (ideally building and scaling data products).', '6+ months of leveraging GenAI / LLM to generate text (including fine-tuning).', 'Understanding of sales deliverables and customer journey in technology.', 'Strong problem solving and coding skills.', 'Self-motivation, initiative, and resourcefulness to effectively manage multiple projects simultaneously.', 'Passion about cybersecurity and ability to deliver in the face of a challenge.', 'Comfort in the spotlight of high-visibility initiatives.', 'Master’s degree in computer science, or engineering preferred.', 'Experience building, deploying, and maintaining Streamlit apps used by 50+ concurrent users.', 'Snowflake and Salesforce knowledge.', 'Cybersecurity knowledge.', 'Strong understanding on how to write great GenAI / LLM prompts.', '#LI-AR2', '#LI-Remote']",02-16-2025
"Engineer III - Content SDET (Remote, IND)","We are looking to hire a Content SDET Engineer 3  focused on helping develop and test  our content development features and release platform which supports many teams to deliver valuable information to Customers. You will be a part of the Falcon Exposure Management team and help build & test the systems to maintain its quality at top most level that:  Validates and test the Acquiring process of CMS  Validates the content data  Validates the features in the system  Validates the integration between multiple systems  Raises alerts in case of failures  Runs automatically on scheduled time  Support multiple content data sets for validation  Tools which support other teams to verify and certify the content accuracy, completeness and quality.","['Bachelor’s degree in Computer Science or related field or equivalent work experience', '7+ years of relevant work experience', 'Proficient in GoLang/Python', 'Strong proficiency in writing complex SQL queries, optimizing query performance, and understanding query execution plans.', 'Knowledgeable of in-memory data structures and algorithms complexity analysis.', 'Hands on experience in Test automation frameworks design, develop and delivery of the system', 'The skills to meet your commitments on time and produce high quality software that is\xa0 tested, code reviewed, and checked in regularly for continuous integration.', 'Operational experience in the maintenance of content systems', 'Team player skills - collaboration is key to building the best solutions.', 'The ability to thrive in a fast paced, test-driven, collaborative and iterative programming environment.', 'Familiarity with Docker and Kubernetes based development and orchestration.', 'Contributed to the open source community (GitHub, Stack Overflow, blogging)', 'Experience with commercial clouds (AWS, Azure, GCP)', 'Prior experience in the cybersecurity or intelligence fields.', '#LI-VJ1', '#LI-HM1', '#LI-Remote']",
"Engineer III, C++ Linux Kernel (Remote, IND)",,"['Overall 8+ years of experience with Strong background in scalable, light-weight and highly performing systems', 'Strong low-level OS internals and concepts', 'In depth knowledge of concurrency, multi-core, thread development and synchronization', 'In depth knowledge of C++ and OS Kernel, Driver Development', 'Experience debugging memory corruptions, contentions and system performance', 'Experience working with teams to ship major features and releases', 'Lead, mentor, communicate, collaborate, and work effectively in a distributed team', 'Familiarity and experience with Agile process', 'Knowledge in Security', '#LI-VJ1', '#LI-HM1', '#LI-Remote']",
Enterprise Change Manager (Remote),,"['Bachelor’s degree in business, IT, or related field (preferred) with a minimum of 8 years of experience in Change Management or a similar role.', 'ITIL Certification - minimum of V3 or V4 Foundation.', 'Demonstrable knowledge of Change and Problem modules in ServiceNow (or comparative ITSM toolset).', 'Experience with compliance processes and Change Management frameworks.', 'Strong analytical and problem-solving skills.', 'Excellent communication and stakeholder management abilities.', 'Familiarity with IT Service Management (ITSM) frameworks.', 'Good understanding of CMDB and how it interacts with Change, Incident and Problem Management, and with the assessment of risk.', '\u200b', 'Leadership and team collaboration.', 'Detail-oriented with strong organizational skills.', 'Ability to manage multiple priorities in a fast-paced environment.', 'Skilled in facilitating root cause analysis and generating actionable insights.', 'Proven experience in driving continual process improvements.', '#LI-JC3', '#LI-Remote']",02-06-2025
"Falcon Complete Graduate Intern (Hybrid, GBR)","CrowdStrike is looking for highly motivated, self-driven graduates to join our 6-month Falcon Complete Graduate program. If you’re dedicated to making a difference in global security by protecting organisations against the most advanced attackers in the world, our scheme will provide you with opportunities to expand your skill set through a wide variety of hands-on training and experiences. The program provides successful graduates with a structured learning path, mentoring by a dedicated Falcon Complete training lead and the opportunity to obtain industry recognised CrowdStrike certifications including the CrowdStrike Certified Falcon Administrator (CCFA) and CrowdStrike Certified Falcon Responder (CCFR). You will have access to a wide variety of learning material, tools and other resources to support your learning as well as exposure to working within customer environments. At the end of the 6-month Falcon Complete Graduate program you will be experienced with the administration of the CrowdStrike Falcon platform and have been exposed to how to respond, contain and remediate threats on customer endpoints.  The role will be hybrid working based in Reading, UK.  The Falcon Complete Graduate program is a 6-month contract with the potential for ongoing employment as a Falcon Complete Associate Analyst where your detection, investigation and analysis skills will be further developed.  Why the Falcon Complete Team?  Do you find yourself interested in putting your hands-on technical skills to the test in detecting, containing, and remediating incidents?  Are you self-motivated and looking for an opportunity to rapidly accelerate your skills?  Do you crave new and innovative work that actually matters to your customer?  Are you looking to increase your Incident Response or Information Security skills?  Do you love working around like-minded, smart people who you can learn from on a daily basis?",[],
Finance Manager,,"['Bachelor’s degree in Finance, Accounting, Economics, Mathematics, or related field required', '5-8+ years of experience in Corporate Finance, Investment Banking, and/or Treasury functions', 'High aptitude and excellent analytical skills for complex problem solving and financial modeling', 'Superior attention to detail – must display the highest levels of consistency and accuracy in work', 'Excellent communication skills with the ability to convey financial concepts to both financial and non-financial audiences', 'Expert user with Microsoft Excel and familiarity with Tableau, Adaptive Insights, and NetSuite', 'Investment Banking, Corporate Development, High-tech, SaaS, start-up, rapid growth and/or publicly traded company experience', 'Clear understanding of GAAP accounting and revenue recognition; SaaS experience a plus', 'Ability to work quickly and accurately under pressure and with time constraints', 'Knowledge of SaaS finance and accounting metrics', '#LI-MJ1']",
Front-End Engineer (Remote),,"['Experience using JavaScript to build web application user interfaces with modern frameworks such as Ember, React, Angular, or Vue.', 'HTML & CSS experience and familiarity with CSS pre- or post-processors (like Sass or PostCSS) or CSS frameworks like Tailwind CSS', 'Knowledge & interest in developing genuinely accessible interfaces.', 'Comfortable with Git or similar version control systems and workflows.', 'A desire to work closely with others to deliver quality software and solve problems.', 'Experience with testing frameworks, tools and methodologies such as QUnit or Mocha', 'Experience with client-side build processes and tools (e.g. Ember CLI, Webpack, etc.)', 'Experience creating or contributing to open source projects.', 'Experience with web accessibility testing and support', 'Prior experience in cybersecurity', 'Prior experience building enterprise software as a service', 'A love of tools and infrastructure. Do you read instruction manuals for fun? Take field trips to train depots? You might be one of us. (If you don’t do those things, you still might be one of us.)', '#LI-DL1', '#LI-Remote', 'This role may require the candidate to periodically undergo and pass alcohol and/or drug test(s) during the course of employment.']",02-12-2025
Global Program Coordinator Intern,,[],
Intelligence Analyst - Targeted Intrusions (Remote),"CrowdStrike Intelligence, a core component of CrowdStrike Counter Adversary Operations, is seeking to hire an Intelligence Analyst for its Intelligence Analysis Cell (IAC) to focus on targeted intrusions in regions and countries including South Asia, Africa, and Turkey. This position will primarily conduct analysis on the structure, motivations, policies, and resources of adversarial cyber organizations of states in these regions as well as other discrete topics including information operations and the hacktivist ecosystem. This position is instrumental in providing unique insight into the strategic context and operating environment of adversaries through finished intelligence products used by CrowdStrike customers and stakeholders.","['Required:', 'The ability to read Turkish, Hindi, or Urdu with high proficiency', '2+ years’ experience conducting research on Turkish, South Asian, or African geopolitical and transnational issues to include producing intelligence assessments and handling ad-hoc requests for information (RFIs)', ""A strong understanding of the aforementioned government bureaucracies pertinent to understanding the country's disposition towards the use of cyber operations; knowledge of the country's military, intelligence, and public security organizations is particularly useful"", ""In-depth knowledge of the aforementioned regional states' foreign and domestic policies necessary to appropriately contextualize their behavior for various audiences"", 'A general understanding of Turkish, South Asian, or African cyber adversaries, including their Tactics, Techniques, and Procedures (TTPs) and relationships to government entities or other movements/groups', 'An ability to express complex technical and non-technical concepts verbally, graphically, and in writing', 'Excellent English writing and open-source research skills', 'Comprehensive practical knowledge of intelligence analysis and collection skills', 'An analytic mindset capable of applying best practices such as structured analysis, awareness of biases and other pitfalls, and critical thinking in source evaluation', 'Undergraduate degree in cybersecurity, general intelligence studies, security studies, criminal justice, political science, international relations; or equivalent military training and experience in a cyber intelligence/security MOS', 'Preferred:', 'A nuanced understanding of Turkish, Hindi, Urdu, or French to include knowledge about country- and region-level dialects and technical terminology.', 'Familiarity with, exposure to, or formal language training in any number of languages prominently used for communication in Africa, including but not limited to: Arabic, Swahili, Hausa, Amharic, Yoruba, Oromo, Igbo, Portuguese, Zulu, Fulani, or Somali.', 'Graduate or professional degrees in any of the aforementioned fields', 'Ability to utilize graph analysis tools (e.g.,\xa0 i2 Analyst Notebook, Maltego) to create both working-level and presentation-grade visualization charts', 'Experience contributing to Computer Network Operations (CNO) campaign tracking, including working with technical indicators pertaining to malware and network infrastructure', '#LI-Remote', '#LI-AO1']",02-13-2025
